login,name,stargazers_count,count,images
iam-veeramalla,ansible-zero-to-hero,601,412.0,True
iam-veeramalla,argo-cd,199,285.0,True
iam-veeramalla,argo-perf-test,60,,
iam-veeramalla,argo-rollouts,65,526.0,True
iam-veeramalla,argo-rollouts-manager,89,173.0,True
iam-veeramalla,argocd-hub-spoke-demo,159,21.0,True
iam-veeramalla,argocd-operator,238,101.0,True
iam-veeramalla,argoproj,116,387.0,True
iam-veeramalla,aws-devops-zero-to-hero,6796,1724.0,True
iam-veeramalla,Azure-zero-to-hero,2700,854.0,True
iam-veeramalla,cicd-demo-golang,83,19.0,True
iam-veeramalla,cicd-end-to-end,497,208.0,True
iam-veeramalla,cis-istio-integration,79,223.0,True
iam-veeramalla,CKA-2024,35,1420.0,True
iam-veeramalla,community-operators,101,369.0,True
iam-veeramalla,community-operators-prod,106,389.0,True
iam-veeramalla,design_diagrams,118,,
iam-veeramalla,devops-interview-preparation-guide,675,394.0,True
iam-veeramalla,devops-project-ideas,285,8.0,True
iam-veeramalla,devtron,92,1155.0,True
iam-veeramalla,Docker-Zero-to-Hero,3835,2149.0,True
iam-veeramalla,dummy-role,32,212.0,True
iam-veeramalla,GitHub-Actions-Zero-to-Hero,1193,198.0,True
iam-veeramalla,gitops-node-headers,52,2.0,True
iam-veeramalla,gitops-operator,228,624.0,True
iam-veeramalla,go-web-app,141,62.0,True
iam-veeramalla,go-web-app-devops,185,62.0,True
iam-veeramalla,Golang-Zero-to-Hero,239,502.0,True
iam-veeramalla,IPLPrediction,38,21.0,True
iam-veeramalla,istio-guide,143,487.0,True
iam-veeramalla,Jenkins-Zero-To-Hero,6465,559.0,True
iam-veeramalla,k8s-crossplane-argocd,127,562.0,True
iam-veeramalla,k8s-kyverno-argocd,201,513.0,True
iam-veeramalla,kubernetes-troubleshooting-zero-to-hero,451,251.0,True
iam-veeramalla,Kubernetes-Zero-to-Hero,1551,282.0,True
iam-veeramalla,MERN-docker-compose,81,104.0,True
iam-veeramalla,observability-zero-to-hero,1485,573.0,True
iam-veeramalla,officeassistant,42,312.0,True
iam-veeramalla,python-for-devops,2745,646.0,True
iam-veeramalla,sandbox,154,,
iam-veeramalla,shell-scripting-projects,870,146.0,True
iam-veeramalla,terraform-eks,295,154.0,True
iam-veeramalla,terraform-zero-to-hero,2380,890.0,True
iam-veeramalla,three-tier-architecture-demo,523,902.0,True
iam-veeramalla,write_your_first_terraform_project,488,31.0,True
in28minutes,10-Steps-to-High-Quality-Java-Developer,61,284.0,True
in28minutes,automatewithselenium.com,6,115.0,True
in28minutes,automation-testing-with-java-and-selenium,196,6261.0,True
in28minutes,awesome-gcp-certifications,7,1305.0,True
in28minutes,azure-devops-kubernetes-terraform-pipeline,91,138.0,True
in28minutes,BasicWebServletsIn28Minutes,29,208.0,True
in28minutes,camel,83,813.0,True
in28minutes,campus-interview-guide,28,1169.0,True
in28minutes,chartjs-chart-funnel,1,372.0,True
in28minutes,clean-code,154,687.0,True
in28minutes,cloud.in28minutes.com,20,116.0,True
in28minutes,config-server,2,,
in28minutes,course-material,989,13.0,True
in28minutes,CTutorialForBeginners,27,1789.0,True
in28minutes,deploy-spring-boot-aws-eb,161,1992.0,True
in28minutes,deploy-spring-boot-to-azure,83,2062.0,True
in28minutes,deploy-spring-microservices-to-aws-ecs-fargate,266,3169.0,True
in28minutes,Design-Patterns-For-Beginners,81,1406.0,True
in28minutes,dev-config-server-test,4,2.0,True
in28minutes,devops-master-class,2299,3852.0,True
in28minutes,docker,105,762.0,True
in28minutes,docker-crash-course,376,2317.0,True
in28minutes,EclipseIn28Minutes,55,573.0,True
in28minutes,first-steps-to-software-architect,136,606.0,True
in28minutes,full-stack-with-angular-and-spring-boot,620,6281.0,True
in28minutes,full-stack-with-react-and-spring-boot,610,6017.0,True
in28minutes,functional-programming-with-java,355,1058.0,True
in28minutes,Future-Course-Preparation,1,2.0,True
in28minutes,getting-started-for-beginners-v2,9,,
in28minutes,getting-started-in-5-steps,155,1442.0,True
in28minutes,go-serverless,42,2629.0,True
in28minutes,google-cloud-4-words,1,2936.0,True
in28minutes,gs-rest-service,1,864.0,True
in28minutes,hello-world-playground,1,83.0,True
in28minutes,hello-world-rest-api-aws-ecs-codepipeline,14,83.0,True
in28minutes,hello-world-rest-api-azure-pipelines,10,94.0,True
in28minutes,HibernateJPAStepByStep,22,1609.0,True
in28minutes,in28minutes,10,34.0,True
in28minutes,in28Minutes-Course-Roadmap,103,788.0,True
in28minutes,in28minutes-initiatives,598,54.0,True
in28minutes,in28minutes.com,25,,
in28minutes,in28minutes.github.io,172,,
in28minutes,In28MinutesTemplate,8,4549.0,True
in28minutes,interview-guide,300,1442.0,True
in28minutes,java-a-course-for-beginners,1084,5065.0,True
in28minutes,java-best-practices,1258,5934.0,True
in28minutes,java-cheat-sheet,599,32673.0,True
in28minutes,Java-EE-Design-Patterns,27,652.0,True
in28minutes,java-technology-for-beginners,60,9466.0,True
in28minutes,java-to-python-in-100-steps,59,494.0,True
in28minutes,java-tutorial-for-beginners,1390,69348.0,True
in28minutes,JavaInterviewQuestionsAndAnswers,1053,2591.0,True
in28minutes,JavaObjectOrientedProgramming,70,98.0,True
in28minutes,JavaTutorialForBeginners,29,677.0,True
in28minutes,JavaWebApplicationStepByStep,541,408.0,True
in28minutes,jenkin-devops-microservice,51,,
in28minutes,jenkins-pipeline,19,,
in28minutes,jpa-with-hibernate,656,1140.0,True
in28minutes,jshell-for-java-programmers,11,636.0,True
in28minutes,JUnitIn28Minutes,217,507.0,True
in28minutes,kubernetes-crash-course,331,5204.0,True
in28minutes,learn,690,232.0,True
