login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
iam-veeramalla,43399466,MDQ6VXNlcjQzMzk5NDY2,https://avatars.githubusercontent.com/u/43399466?v=4,,https://api.github.com/users/iam-veeramalla,https://github.com/iam-veeramalla,https://api.github.com/users/iam-veeramalla/followers,https://api.github.com/users/iam-veeramalla/following{/other_user},https://api.github.com/users/iam-veeramalla/gists{/gist_id},https://api.github.com/users/iam-veeramalla/starred{/owner}{/repo},https://api.github.com/users/iam-veeramalla/subscriptions,https://api.github.com/users/iam-veeramalla/orgs,https://api.github.com/users/iam-veeramalla/repos,https://api.github.com/users/iam-veeramalla/events{/privacy},https://api.github.com/users/iam-veeramalla/received_events,User,public,False,1.0
in28minutes,14139137,MDQ6VXNlcjE0MTM5MTM3,https://avatars.githubusercontent.com/u/14139137?v=4,,https://api.github.com/users/in28minutes,https://github.com/in28minutes,https://api.github.com/users/in28minutes/followers,https://api.github.com/users/in28minutes/following{/other_user},https://api.github.com/users/in28minutes/gists{/gist_id},https://api.github.com/users/in28minutes/starred{/owner}{/repo},https://api.github.com/users/in28minutes/subscriptions,https://api.github.com/users/in28minutes/orgs,https://api.github.com/users/in28minutes/repos,https://api.github.com/users/in28minutes/events{/privacy},https://api.github.com/users/in28minutes/received_events,User,public,False,1.0
stacksimplify,48318719,MDQ6VXNlcjQ4MzE4NzE5,https://avatars.githubusercontent.com/u/48318719?v=4,,https://api.github.com/users/stacksimplify,https://github.com/stacksimplify,https://api.github.com/users/stacksimplify/followers,https://api.github.com/users/stacksimplify/following{/other_user},https://api.github.com/users/stacksimplify/gists{/gist_id},https://api.github.com/users/stacksimplify/starred{/owner}{/repo},https://api.github.com/users/stacksimplify/subscriptions,https://api.github.com/users/stacksimplify/orgs,https://api.github.com/users/stacksimplify/repos,https://api.github.com/users/stacksimplify/events{/privacy},https://api.github.com/users/stacksimplify/received_events,User,public,False,1.0
thenaveensaggam,25869485,MDQ6VXNlcjI1ODY5NDg1,https://avatars.githubusercontent.com/u/25869485?v=4,,https://api.github.com/users/thenaveensaggam,https://github.com/thenaveensaggam,https://api.github.com/users/thenaveensaggam/followers,https://api.github.com/users/thenaveensaggam/following{/other_user},https://api.github.com/users/thenaveensaggam/gists{/gist_id},https://api.github.com/users/thenaveensaggam/starred{/owner}{/repo},https://api.github.com/users/thenaveensaggam/subscriptions,https://api.github.com/users/thenaveensaggam/orgs,https://api.github.com/users/thenaveensaggam/repos,https://api.github.com/users/thenaveensaggam/events{/privacy},https://api.github.com/users/thenaveensaggam/received_events,User,public,False,1.0
MadhavBahl,26179770,MDQ6VXNlcjI2MTc5Nzcw,https://avatars.githubusercontent.com/u/26179770?v=4,,https://api.github.com/users/MadhavBahl,https://github.com/MadhavBahl,https://api.github.com/users/MadhavBahl/followers,https://api.github.com/users/MadhavBahl/following{/other_user},https://api.github.com/users/MadhavBahl/gists{/gist_id},https://api.github.com/users/MadhavBahl/starred{/owner}{/repo},https://api.github.com/users/MadhavBahl/subscriptions,https://api.github.com/users/MadhavBahl/orgs,https://api.github.com/users/MadhavBahl/repos,https://api.github.com/users/MadhavBahl/events{/privacy},https://api.github.com/users/MadhavBahl/received_events,User,public,False,1.0
sivaprasadreddy,542428,MDQ6VXNlcjU0MjQyOA==,https://avatars.githubusercontent.com/u/542428?v=4,,https://api.github.com/users/sivaprasadreddy,https://github.com/sivaprasadreddy,https://api.github.com/users/sivaprasadreddy/followers,https://api.github.com/users/sivaprasadreddy/following{/other_user},https://api.github.com/users/sivaprasadreddy/gists{/gist_id},https://api.github.com/users/sivaprasadreddy/starred{/owner}{/repo},https://api.github.com/users/sivaprasadreddy/subscriptions,https://api.github.com/users/sivaprasadreddy/orgs,https://api.github.com/users/sivaprasadreddy/repos,https://api.github.com/users/sivaprasadreddy/events{/privacy},https://api.github.com/users/sivaprasadreddy/received_events,User,public,False,1.0
ashokitschool,30829130,MDQ6VXNlcjMwODI5MTMw,https://avatars.githubusercontent.com/u/30829130?v=4,,https://api.github.com/users/ashokitschool,https://github.com/ashokitschool,https://api.github.com/users/ashokitschool/followers,https://api.github.com/users/ashokitschool/following{/other_user},https://api.github.com/users/ashokitschool/gists{/gist_id},https://api.github.com/users/ashokitschool/starred{/owner}{/repo},https://api.github.com/users/ashokitschool/subscriptions,https://api.github.com/users/ashokitschool/orgs,https://api.github.com/users/ashokitschool/repos,https://api.github.com/users/ashokitschool/events{/privacy},https://api.github.com/users/ashokitschool/received_events,User,public,False,1.0
Shahzaib-D-Memon,57555093,MDQ6VXNlcjU3NTU1MDkz,https://avatars.githubusercontent.com/u/57555093?v=4,,https://api.github.com/users/Shahzaib-D-Memon,https://github.com/Shahzaib-D-Memon,https://api.github.com/users/Shahzaib-D-Memon/followers,https://api.github.com/users/Shahzaib-D-Memon/following{/other_user},https://api.github.com/users/Shahzaib-D-Memon/gists{/gist_id},https://api.github.com/users/Shahzaib-D-Memon/starred{/owner}{/repo},https://api.github.com/users/Shahzaib-D-Memon/subscriptions,https://api.github.com/users/Shahzaib-D-Memon/orgs,https://api.github.com/users/Shahzaib-D-Memon/repos,https://api.github.com/users/Shahzaib-D-Memon/events{/privacy},https://api.github.com/users/Shahzaib-D-Memon/received_events,User,public,False,1.0
codewithdev,44609609,MDQ6VXNlcjQ0NjA5NjA5,https://avatars.githubusercontent.com/u/44609609?v=4,,https://api.github.com/users/codewithdev,https://github.com/codewithdev,https://api.github.com/users/codewithdev/followers,https://api.github.com/users/codewithdev/following{/other_user},https://api.github.com/users/codewithdev/gists{/gist_id},https://api.github.com/users/codewithdev/starred{/owner}{/repo},https://api.github.com/users/codewithdev/subscriptions,https://api.github.com/users/codewithdev/orgs,https://api.github.com/users/codewithdev/repos,https://api.github.com/users/codewithdev/events{/privacy},https://api.github.com/users/codewithdev/received_events,User,public,False,1.0
NotHarshhaa,112948305,U_kgDOBrt0UQ,https://avatars.githubusercontent.com/u/112948305?v=4,,https://api.github.com/users/NotHarshhaa,https://github.com/NotHarshhaa,https://api.github.com/users/NotHarshhaa/followers,https://api.github.com/users/NotHarshhaa/following{/other_user},https://api.github.com/users/NotHarshhaa/gists{/gist_id},https://api.github.com/users/NotHarshhaa/starred{/owner}{/repo},https://api.github.com/users/NotHarshhaa/subscriptions,https://api.github.com/users/NotHarshhaa/orgs,https://api.github.com/users/NotHarshhaa/repos,https://api.github.com/users/NotHarshhaa/events{/privacy},https://api.github.com/users/NotHarshhaa/received_events,User,public,False,1.0
arvindr21,2562992,MDQ6VXNlcjI1NjI5OTI=,https://avatars.githubusercontent.com/u/2562992?v=4,,https://api.github.com/users/arvindr21,https://github.com/arvindr21,https://api.github.com/users/arvindr21/followers,https://api.github.com/users/arvindr21/following{/other_user},https://api.github.com/users/arvindr21/gists{/gist_id},https://api.github.com/users/arvindr21/starred{/owner}{/repo},https://api.github.com/users/arvindr21/subscriptions,https://api.github.com/users/arvindr21/orgs,https://api.github.com/users/arvindr21/repos,https://api.github.com/users/arvindr21/events{/privacy},https://api.github.com/users/arvindr21/received_events,User,public,False,1.0
InterviewReady,84011411,MDEyOk9yZ2FuaXphdGlvbjg0MDExNDEx,https://avatars.githubusercontent.com/u/84011411?v=4,,https://api.github.com/users/InterviewReady,https://github.com/InterviewReady,https://api.github.com/users/InterviewReady/followers,https://api.github.com/users/InterviewReady/following{/other_user},https://api.github.com/users/InterviewReady/gists{/gist_id},https://api.github.com/users/InterviewReady/starred{/owner}{/repo},https://api.github.com/users/InterviewReady/subscriptions,https://api.github.com/users/InterviewReady/orgs,https://api.github.com/users/InterviewReady/repos,https://api.github.com/users/InterviewReady/events{/privacy},https://api.github.com/users/InterviewReady/received_events,Organization,public,False,1.0
javabyraghu,15054479,MDQ6VXNlcjE1MDU0NDc5,https://avatars.githubusercontent.com/u/15054479?v=4,,https://api.github.com/users/javabyraghu,https://github.com/javabyraghu,https://api.github.com/users/javabyraghu/followers,https://api.github.com/users/javabyraghu/following{/other_user},https://api.github.com/users/javabyraghu/gists{/gist_id},https://api.github.com/users/javabyraghu/starred{/owner}{/repo},https://api.github.com/users/javabyraghu/subscriptions,https://api.github.com/users/javabyraghu/orgs,https://api.github.com/users/javabyraghu/repos,https://api.github.com/users/javabyraghu/events{/privacy},https://api.github.com/users/javabyraghu/received_events,User,public,False,1.0
SajeedAI,86048457,MDQ6VXNlcjg2MDQ4NDU3,https://avatars.githubusercontent.com/u/86048457?v=4,,https://api.github.com/users/SajeedAI,https://github.com/SajeedAI,https://api.github.com/users/SajeedAI/followers,https://api.github.com/users/SajeedAI/following{/other_user},https://api.github.com/users/SajeedAI/gists{/gist_id},https://api.github.com/users/SajeedAI/starred{/owner}{/repo},https://api.github.com/users/SajeedAI/subscriptions,https://api.github.com/users/SajeedAI/orgs,https://api.github.com/users/SajeedAI/repos,https://api.github.com/users/SajeedAI/events{/privacy},https://api.github.com/users/SajeedAI/received_events,User,public,False,1.0
archygupta,23223229,MDQ6VXNlcjIzMjIzMjI5,https://avatars.githubusercontent.com/u/23223229?v=4,,https://api.github.com/users/archygupta,https://github.com/archygupta,https://api.github.com/users/archygupta/followers,https://api.github.com/users/archygupta/following{/other_user},https://api.github.com/users/archygupta/gists{/gist_id},https://api.github.com/users/archygupta/starred{/owner}{/repo},https://api.github.com/users/archygupta/subscriptions,https://api.github.com/users/archygupta/orgs,https://api.github.com/users/archygupta/repos,https://api.github.com/users/archygupta/events{/privacy},https://api.github.com/users/archygupta/received_events,User,public,False,1.0
